,amp,batch_size,bss_reg,cat:auto_augment:None,cat:auto_augment:original,cat:auto_augment:v0,cat:data_augmentation:None,cat:data_augmentation:auto_augment,cat:data_augmentation:random_augment,cat:data_augmentation:trivial_augment,cat:model:beit_base_patch16_384,cat:model:beit_large_patch16_512,cat:model:convnext_small_384_in22ft1k,cat:model:deit3_small_patch16_384_in21ft1k,cat:model:dla46x_c,cat:model:edgenext_small,cat:model:edgenext_x_small,cat:model:edgenext_xx_small,cat:model:mobilevit_xs,cat:model:mobilevit_xxs,cat:model:mobilevitv2_075,cat:model:swinv2_base_window12to24_192to384_22kft1k,cat:model:tf_efficientnet_b4_ns,cat:model:tf_efficientnet_b6_ns,cat:model:tf_efficientnet_b7_ns,cat:model:volo_d1_384,cat:model:volo_d3_448,cat:model:volo_d4_448,cat:model:volo_d5_448,cat:model:volo_d5_512,cat:model:xcit_nano_12_p8_384_dist,cat:model:xcit_small_12_p8_384_dist,cat:model:xcit_tiny_12_p8_384_dist,cat:model:xcit_tiny_24_p8_384_dist,cat:opt:adam,cat:opt:adamp,cat:opt:adamw,cat:opt:momentum,cat:opt:sgd,cat:opt_betas:None,"cat:opt_betas:[0.0, 0.999]","cat:opt_betas:[0.0, 0.99]","cat:opt_betas:[0.9, 0.999]","cat:opt_betas:[0.9, 0.99]",cat:sched:cosine,cat:sched:multistep,cat:sched:plateau,cat:sched:step,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,momentum,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay
345222972187152031,1,2,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10.0,0.0,4.0,10.0,0.5,0.01,0.3,0.65,0,0.005,8.0,0.25,0.9,10,0.0,8,2,0.05,0.0,0,0,1e-05,0.0001
50615341238722148,0,32,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1.0,1.0,0.25,90.0,0.1,0.0,0.0,0.75,0,0.01,1.0,0.75,0.9,10,0.8,17,2,0.1,0.01,0,5,1e-06,0.01
55283887432744401,1,4,0.0001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1.0,4.0,2.0,10.0,0.5,0.1,0.3,-1.0,0,0.0001,2.0,0.0,0.9,10,0.4,8,2,0.1,0.1,0,10,1e-05,1e-05
294298717339641819,1,4,0.001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,10.0,0.0,0.25,10.0,0.1,0.0,0.0,-1.0,0,0.0005,1.0,0.75,0.99,10,0.4,17,2,0.0,0.0001,1,10,1e-05,0.01
144736143392187834,0,16,0.0001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.0,0.5,0.25,20.0,0.1,0.01,0.2,0.75,1,0.001,0.2,0.5,0.9,10,1.0,8,2,0.0,0.001,1,5,0.0,0.0
46892431787287090,0,8,0.001,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.0,2.0,2.0,20.0,0.1,0.01,0.4,0.75,0,0.005,2.0,0.75,0.9,10,0.6,8,2,0.05,0.0,1,0,1e-05,1e-05
80624705652681678,0,2,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-1.0,2.0,1.0,90.0,0.1,0.0,0.4,0.75,0,0.0001,4.0,0.75,0.99,5,0.6,8,2,0.1,0.01,0,0,1e-05,0.0
11867752120470166,0,32,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,10.0,1.0,4.0,90.0,0.1,0.01,0.1,0.75,0,0.001,0.0,0.5,0.9,10,0.6,17,2,0.0,0.0001,0,5,1e-05,0.001
22789741927325168,0,4,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,10.0,0.0,0.5,90.0,0.1,0.0,0.3,0.65,0,0.005,4.0,1.0,0.9,10,0.4,9,2,0.0,0.1,1,5,1e-05,1e-05
16662339208596574,0,8,0.01,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.0,0.5,0.1,90.0,0.1,0.0001,0.3,0.65,0,0.001,0.2,0.25,0.9,2,0.2,8,2,0.05,0.0,0,0,1e-06,0.1
