,amp,batch_size,bss_reg,cat__auto_augment__None,cat__auto_augment__original,cat__auto_augment__v0,cat__model__beit_base_patch16_384,cat__model__beit_large_patch16_512,cat__model__convnext_small_384_in22ft1k,cat__model__deit3_small_patch16_384_in21ft1k,cat__model__dla46x_c,cat__model__edgenext_small,cat__model__edgenext_x_small,cat__model__edgenext_xx_small,cat__model__mobilevit_xs,cat__model__mobilevit_xxs,cat__model__mobilevitv2_075,cat__model__swinv2_base_window12to24_192to384_22kft1k,cat__model__tf_efficientnet_b4_ns,cat__model__tf_efficientnet_b6_ns,cat__model__tf_efficientnet_b7_ns,cat__model__volo_d1_384,cat__model__volo_d3_448,cat__model__volo_d4_448,cat__model__volo_d5_448,cat__model__volo_d5_512,cat__model__xcit_nano_12_p8_384_dist,cat__model__xcit_small_12_p8_384_dist,cat__model__xcit_tiny_12_p8_384_dist,cat__model__xcit_tiny_24_p8_384_dist,cat__opt__adam,cat__opt__adamp,cat__opt__adamw,cat__opt__momentum,cat__opt__sgd,cat__opt_betas__None,"cat__opt_betas__[0.0, 0.999]","cat__opt_betas__[0.0, 0.99]","cat__opt_betas__[0.9, 0.999]","cat__opt_betas__[0.9, 0.99]",cat__sched__cosine,cat__sched__multistep,cat__sched__plateau,cat__sched__step,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,momentum,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,random_augment,smoothing,sp_reg,stoch_norm,trivial_augment,warmup_epochs,warmup_lr,weight_decay
74417154365539438,False,128,0.1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1.0,2.0,0.5,20,0.1,0.01,0.4,0.75,False,0.0005,2.0,1.0,0.9,10,0.0,8,2,False,0.0,0.0,False,False,5,0.0,0.01
28759971764404954,False,64,0.01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1.0,0.0,1.0,90,0.1,0.01,0.4,0.65,True,5e-05,0.2,0.5,0.95,2,0.6,8,2,False,0.1,0.0001,True,False,10,0.0,0.0001
10466724769439820,False,16,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1.0,0.5,0.0,90,0.1,0.01,0.4,0.75,False,0.001,2.0,0.25,0.9,2,0.8,8,2,False,0.05,0.001,True,False,0,1e-05,0.01
20056787023477519,True,2,0.0001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,,0.0,2.0,10,0.1,0.01,0.1,0.65,True,5e-05,0.4,0.25,0.9,10,0.0,8,2,False,0.1,0.0001,True,False,5,1e-05,0.001
115104759908005613,True,32,0.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,10.0,0.0,0.0,10,0.1,0.0,0.3,,False,1e-05,0.4,0.5,0.9,10,0.0,8,2,False,0.0,0.001,False,False,10,0.0,0.01
64133780157014584,False,8,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,,4.0,1.0,90,0.1,0.1,0.2,,False,1e-05,8.0,0.0,0.9,10,0.8,17,2,True,0.1,0.1,False,False,5,1e-06,0.0
160971987117537173,True,64,0.1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,,1.0,0.5,90,0.1,0.001,0.2,0.65,True,5e-05,0.2,0.75,0.99,10,0.8,17,3,True,0.05,0.1,True,False,5,0.0,0.0
30537381878934033,True,4,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1.0,1.0,2.0,90,0.1,0.1,0.4,0.75,False,0.0001,8.0,0.0,0.9,10,0.6,8,2,False,0.05,0.0,True,True,10,1e-06,1e-05
26525064251448383,True,8,0.0001,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,,2.0,0.25,90,0.1,0.01,0.3,0.65,False,0.0001,1.0,0.5,0.9,10,0.0,8,2,False,0.0,0.01,True,True,10,1e-06,0.01
136598468157528704,False,32,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,1.0,0.5,0.0,10,0.1,0.01,0.4,,False,0.001,8.0,0.5,0.9,10,0.8,17,2,True,0.1,0.1,False,False,5,0.0,0.0
25854900687589727,True,8,0.001,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,1.0,1.0,0.0,90,0.1,0.001,0.1,0.65,False,0.005,0.2,0.5,0.95,10,0.0,8,2,False,0.05,0.01,False,True,5,0.0,0.01
230815779065893918,False,64,0.0001,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,,1.0,0.0,20,0.1,0.0,0.0,0.65,False,0.005,8.0,0.5,0.9,10,0.4,8,2,False,0.1,0.1,False,False,10,1e-05,0.001
159623229000579362,False,32,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,,0.0,0.25,20,0.5,0.001,0.4,,True,1e-05,2.0,0.25,0.99,10,0.2,8,2,False,0.05,0.1,True,False,5,0.0,1e-05
4876459398619965,True,4,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,1.0,4.0,0.25,90,0.1,0.001,0.4,0.65,False,0.0005,0.0,1.0,0.0,10,0.6,8,2,False,0.0,0.0,True,True,10,1e-06,0.0001
21320467304308384,False,8,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,10.0,0.0,0.0,90,0.1,0.1,0.3,0.75,False,0.005,0.4,0.0,0.9,10,0.4,8,2,False,0.0,0.0001,False,False,5,1e-05,0.0001
249575201260931903,True,8,0.0001,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,10.0,0.0,0.0,10,0.5,0.0001,0.0,0.75,True,0.0005,4.0,0.75,0.9,10,0.2,17,2,True,0.0,0.0,True,False,5,1e-05,1e-05
133469538741729908,False,32,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,,0.0,1.0,90,0.1,0.001,0.0,,False,1e-05,0.2,1.0,0.9,2,0.4,9,3,True,0.0,0.0001,True,False,5,1e-05,0.001
18321968699939123,True,64,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,10.0,1.0,0.1,10,0.5,0.0,0.3,0.65,False,0.001,0.4,1.0,0.9,10,0.6,8,2,False,0.0,0.0001,False,False,10,1e-06,0.01
26286866932884986,False,4,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,1.0,1.0,4.0,90,0.1,0.1,0.0,0.65,False,0.0005,0.4,0.75,0.9,10,1.0,8,2,False,0.0,0.001,False,False,5,1e-06,0.01
10771417248540729,True,128,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,,2.0,0.0,90,0.1,0.01,0.3,,False,0.0001,0.4,0.75,0.8,2,0.4,8,2,False,0.1,0.001,True,True,10,1e-05,0.01
29781957264303211,True,16,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,,0.0,0.5,90,0.1,0.1,0.1,,False,0.0001,1.0,0.75,0.9,10,0.4,17,3,True,0.0,0.0,True,False,0,0.0,1e-05
